phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
NASC01000079.1||full	NASC01000079.1	0.747	0.047	0.005	0.14	0.027	0.747	dsDNAphage	10690	0	57.1	19
NASC01000089.1||full	NASC01000089.1	0.773	0	0	0.307	0.02	0.773	dsDNAphage	10413	2	27.3	18.2
NASC01000090.1||full	NASC01000090.1	0.953	0.02	0.02	0.34	0.187	0.953	dsDNAphage	10724	4	55.6	11.1
NARN01000030.1||full	NARN01000030.1	0.913	0	0	0.153	0.013	0.913	dsDNAphage	30630	9	35.7	14.3
NARN01000040.1||full	NARN01000040.1	0.813	0	0	0.52	0	0.813	dsDNAphage	24639	6	30.8	19.2
NARN01000055.1||full	NARN01000055.1	0.22	0.013	0.025	0.547	0.307	0.547	NCLDV	12932	0	23.1	0
NARN01000065.1||full	NARN01000065.1	0.153	0.053	0	0.8	0.313	0.8	NCLDV	7594	0	50	16.7
NARN01000073.1||full	NARN01000073.1	0.073	0	0.08	0.76	0.227	0.76	NCLDV	6045	0	14.3	0
NARN01000084.1||full	NARN01000084.1	0.8	0.713	0.275	0.627	0.973	0.973	lavidaviridae	3589	0	75	0
NARN01000096.1||full	NARN01000096.1	0.087	0.14	0.18	0.993	0.3	0.993	NCLDV	1792	0	50	0
NARN01000097.1||full	NARN01000097.1	0.847	0.4	0.055	0.787	0.32	0.847	dsDNAphage	1878	0	66.7	0
NARN01000098.1||full	NARN01000098.1	0.827	0.92	0.345	0.307	0.107	0.92	ssDNA	2247	0	20	0
NARZ01000054.1||full	NARZ01000054.1	0.82	0	0	0.213	0	0.82	dsDNAphage	28143	6	25.8	29
NARZ01000080.1||full	NARZ01000080.1	0.827	0	0	0.073	0	0.827	dsDNAphage	165681	11	28.8	27.7
NARZ01000046.1||full	NARZ01000046.1	0.993	0.033	0	0.153	0.687	0.993	dsDNAphage	17190	9	58.3	12.5
NARZ01000041.1||full	NARZ01000041.1	0.22	0.013	0.025	0.547	0.307	0.547	NCLDV	12935	0	23.1	0
NARZ01000035.1||full	NARZ01000035.1	0.06	0	0.005	0.78	0.36	0.78	NCLDV	6978	0	40	20
NARZ01000025.1||full	NARZ01000025.1	0.107	0.027	0.085	1	0.353	1	NCLDV	3832	0	25	0
NARZ01000021.1||full	NARZ01000021.1	0.827	0.92	0.345	0.307	0.107	0.92	ssDNA	2247	0	20	0
NAHW01000043.1||full	NAHW01000043.1	0.813	0	0	0.12	0.007	0.813	dsDNAphage	19574	2	16	16
NAHW01000044.1||full	NAHW01000044.1	0.9	0.02	0	0.44	0.46	0.9	dsDNAphage	18847	4	50	16.7
NAHW01000067.1||full	NAHW01000067.1	0.487	0.313	0.06	0.347	0.887	0.887	lavidaviridae	6931	0	16.7	0
NAHW01000083.1||full	NAHW01000083.1	0.54	0.967	0.24	0.507	0.887	0.967	ssDNA	1824	0	100	0
NAHW01000085.1||full	NAHW01000085.1	0.887	0.96	0.25	0.707	0.347	0.96	ssDNA	1102	0	66.7	0
NASA01000040.1||full	NASA01000040.1	0.533	0	0	0.093	0.013	0.533	dsDNAphage	21159	2	16.7	16.7
NAHU01000134.1||full	NAHU01000134.1	0.087	0.12	0.12	0.9	0.487	0.9	NCLDV	6065	0	33.3	0
NAHU01000136.1||full	NAHU01000136.1	0.487	0.313	0.06	0.347	0.887	0.887	lavidaviridae	6931	0	16.7	0
NAHU01000157.1||full	NAHU01000157.1	0.08	0.007	0.09	0.533	0.147	0.533	NCLDV	5670	0	14.3	0
NAHU01000170.1||full	NAHU01000170.1	0.86	0.293	0.715	0.267	0.913	0.913	lavidaviridae	4996	0	20	0
NAHU01000184.1||full	NAHU01000184.1	0.24	0.113	0.405	1	0.987	1	NCLDV	4422	0	33.3	0
NAHU01000219.1||full	NAHU01000219.1	0.867	0.893	0.13	0.62	0.96	0.96	lavidaviridae	2630	0	100	0
NAHU01000239.1||full	NAHU01000239.1	0.6	0.9	0.38	nan	0.693	0.9	ssDNA	1367	0	33.3	0
NAHU01000260.1||full	NAHU01000260.1	0.547	0.967	0.24	0.507	0.887	0.967	ssDNA	1824	0	100	0
NAHU01000284.1||full	NAHU01000284.1	0.427	0.12	0.135	0.973	0.553	0.973	NCLDV	1559	0	50	0
NAHU01000050.1||full	NAHU01000050.1	0.867	0.013	0	0.353	0.36	0.867	dsDNAphage	16311	4	50	18.2
NAHU01000086.1||full	NAHU01000086.1	0.933	0	0	0.12	0.007	0.933	dsDNAphage	10773	2	28.6	14.3
NAHU01000095.1||full	NAHU01000095.1	0.133	0	0.01	0.913	0.02	0.913	NCLDV	10223	0	15.4	7.7
NAHV01000100.1||full	NAHV01000100.1	0.547	0.967	0.24	0.507	0.887	0.967	ssDNA	1824	0	100	0
NAHV01000018.1||full	NAHV01000018.1	0.86	0	0	0.313	0	0.86	dsDNAphage	53543	4	30	22
NAHV01000043.1||full	NAHV01000043.1	0.813	0	0	0.12	0.007	0.813	dsDNAphage	19574	2	16	16
NAHV01000072.1||full	NAHV01000072.1	0.8	0.273	0.225	0.533	0.233	0.8	dsDNAphage	6827	0	12.5	0
NAHV01000074.1||full	NAHV01000074.1	0.487	0.313	0.06	0.347	0.887	0.887	lavidaviridae	6931	0	16.7	0
NAHV01000082.1||full	NAHV01000082.1	0.653	0.273	0.07	0.7	0.353	0.7	NCLDV	4548	0	75	0
NAHR01000040.1||full	NAHR01000040.1	0.873	0	0	0.227	0	0.873	dsDNAphage	22433	4	34.8	21.7
NAHR01000051.1||full	NAHR01000051.1	0.813	0	0	0.12	0.007	0.813	dsDNAphage	19574	2	16	16
NAHR01000070.1||full	NAHR01000070.1	0.487	0.313	0.06	0.347	0.887	0.887	lavidaviridae	6931	0	16.7	0
NAHR01000086.1||full	NAHR01000086.1	0.32	0.433	0.21	0.633	0.693	0.693	lavidaviridae	2368	0	50	0
NAHR01000088.1||full	NAHR01000088.1	0.547	0.967	0.24	0.507	0.887	0.967	ssDNA	1824	0	100	0
NAHS01000123.1||full	NAHS01000123.1	0.993	0.007	0	0.807	0.04	0.993	dsDNAphage	6201	4	57.1	14.3
NAHS01000135.1||full	NAHS01000135.1	0.507	0.12	0.18	0.613	0.52	0.613	NCLDV	7023	0	20	0
NAHS01000162.1||full	NAHS01000162.1	0.9	0	0	0.067	0.027	0.9	dsDNAphage	5832	2	42.9	28.6
NAHS01000175.1||full	NAHS01000175.1	0.107	0.007	0.095	0.553	0.187	0.553	NCLDV	5460	0	16.7	0
NAHS01000181.1||full	NAHS01000181.1	0.233	0.007	0	0.727	0.027	0.727	NCLDV	5305	0	22.2	11.1
NAHS01000186.1||full	NAHS01000186.1	0.527	0.047	0.16	0.98	0.3	0.98	NCLDV	5356	0	50	0
NAHS01000194.1||full	NAHS01000194.1	0.453	0.053	0.16	0.853	0.127	0.853	NCLDV	4665	0	14.3	0
NAHS01000199.1||full	NAHS01000199.1	0.8	0.347	0.31	0.207	0.207	0.8	dsDNAphage	4769	0	12.5	0
NAHS01000218.1||full	NAHS01000218.1	0.253	0.1	0.27	0.887	0.6	0.887	NCLDV	3228	0	50	0
NAHS01000219.1||full	NAHS01000219.1	0.393	0.06	0.205	0.987	0.973	0.987	NCLDV	4157	0	25	0
NAHS01000230.1||full	NAHS01000230.1	0.727	0.373	0.63	0.213	0.733	0.733	lavidaviridae	3955	0	25	0
NAHS01000239.1||full	NAHS01000239.1	0.3	0.067	0.11	0.653	0.22	0.653	NCLDV	3513	0	33.3	0
NAHS01000253.1||full	NAHS01000253.1	0.173	0.033	0.005	0.58	0.12	0.58	NCLDV	3518	0	40	20
NAHS01000254.1||full	NAHS01000254.1	0.867	0.893	0.13	0.62	0.96	0.96	lavidaviridae	2630	0	100	0
NAHS01000264.1||full	NAHS01000264.1	0.793	0.073	0	0.24	0.033	0.793	dsDNAphage	3354	0	33.3	11.1
NAHS01000265.1||full	NAHS01000265.1	0.647	0.96	0.265	0.467	0.887	0.96	ssDNA	3237	0	100	0
NAHS01000282.1||full	NAHS01000282.1	0.6	0.9	0.38	nan	0.693	0.9	ssDNA	1367	0	33.3	0
NAHS01000316.1||full	NAHS01000316.1	0.273	0.447	0.185	0.78	0.673	0.78	NCLDV	2293	0	50	0
NAHS01000320.1||full	NAHS01000320.1	0.18	0.607	0.29	0.98	0.867	0.98	NCLDV	2252	0	33.3	0
NAHS01000337.1||full	NAHS01000337.1	0.64	0.827	0.095	0.993	0.98	0.993	NCLDV	1735	0	66.7	0
NAHS01000359.1||full	NAHS01000359.1	0.867	0.993	0.21	0.76	0.373	0.993	ssDNA	1147	0	66.7	0
NAHS01000038.1||full	NAHS01000038.1	0.02	0	0	0.853	0	0.853	NCLDV	16469	0	13.3	6.7
LZHN01000010.1||full	LZHN01000010.1	0.973	0.02	0	0.14	0.273	0.973	dsDNAphage	33672	11	63.3	12.2
LZHN01000017.1||full	LZHN01000017.1	0.607	0.12	0.065	0.227	0.14	0.607	dsDNAphage	1634	0	50	25
LZHN01000020.1||full	LZHN01000020.1	0.953	0	0	0.08	0.013	0.953	dsDNAphage	58318	14	48.5	22.7
LZHN01000026.1||full	LZHN01000026.1	0.993	0.007	0	0.36	0.013	0.993	dsDNAphage	29202	13	65.7	8.6
LZHN01000030.1||full	LZHN01000030.1	0.993	0.013	0	0.227	0.053	0.993	dsDNAphage	30862	11	65	7.5
LZHN01000031.1||full	LZHN01000031.1	0.447	0.547	0.225	0.68	0.887	0.887	lavidaviridae	2609	0	25	0
LZHN01000047.1||full	LZHN01000047.1	0.02	0	0	0.573	0.007	0.573	NCLDV	9057	0	33.3	22.2
LZHN01000049.1||full	LZHN01000049.1	0.987	0.04	0	0.287	0.147	0.987	dsDNAphage	15121	1	48.5	9.1
LZHN01000068.1||full	LZHN01000068.1	0.767	0.04	0.045	0.08	0.633	0.767	dsDNAphage	6166	0	22.2	11.1
LZHN01000089.1||full	LZHN01000089.1	0.973	0.02	0	0.253	0.027	0.973	dsDNAphage	17932	0	39	7.3
LZHN01000090.1||full	LZHN01000090.1	0.76	0.027	0.025	0.327	0.18	0.76	dsDNAphage	5060	1	27.3	18.2
LZHO01000002.1||full	LZHO01000002.1	0.787	0.033	0	0.053	0.08	0.787	dsDNAphage	8273	0	36.8	15.8
LZHO01000003.1||full	LZHO01000003.1	0.453	0.273	0.255	0.393	0.753	0.753	lavidaviridae	5598	0	14.3	0
LZHO01000012.1||full	LZHO01000012.1	0.913	0.02	0	0.113	0.027	0.913	dsDNAphage	10136	0	47.6	9.5
LZHO01000036.1||full	LZHO01000036.1	0.92	0.04	0.005	0.433	0.047	0.92	dsDNAphage	8542	0	47.4	10.5
LZHO01000054.1||full	LZHO01000054.1	0.94	0.113	0.01	0.04	0.113	0.94	dsDNAphage	8408	1	47.4	15.8
LZHO01000058.1||full	LZHO01000058.1	0.513	0.3	0.06	0.873	0.927	0.927	lavidaviridae	5456	0	25	0
LZHO01000063.1||full	LZHO01000063.1	0.3	0.18	0.135	0.793	0.227	0.793	NCLDV	1685	0	50	0
LZHO01000083.1||full	LZHO01000083.1	0.96	0	0	0.173	0.027	0.96	dsDNAphage	41401	11	51	19.6
LZHO01000086.1||full	LZHO01000086.1	0.987	0.02	0	0.36	0.027	0.987	dsDNAphage	29308	15	62.5	5
LZHO01000090.1||full	LZHO01000090.1	0.96	0.007	0	0.133	0.007	0.96	dsDNAphage	7620	1	46.2	23.1
LZHP01000005.1||full	LZHP01000005.1	1	0	0	0.06	0.04	1	dsDNAphage	35365	10	52.4	9.5
LZHP01000013.1||full	LZHP01000013.1	0.8	0	0	0.033	0.027	0.8	dsDNAphage	102956	19	29.6	33.3
LZHP01000045.1||full	LZHP01000045.1	0.98	0	0	0.14	0.02	0.98	dsDNAphage	69932	17	46.4	10.3
LZHP01000081.1||full	LZHP01000081.1	0.473	0.12	0.09	0.807	0.887	0.887	lavidaviridae	3129	0	40	0
LZHP01000093.1||full	LZHP01000093.1	0.72	0.267	0.33	0.753	0.313	0.753	NCLDV	5571	0	12.5	0
LZHP01000099.1||full	LZHP01000099.1	0.053	0	0.055	0.567	0.1	0.567	NCLDV	8887	0	12.5	0
LZHQ01000008.1||full	LZHQ01000008.1	0.94	0.007	0	0.12	0.013	0.94	dsDNAphage	76831	14	42.2	15.7
LZHR01000011.1||full	LZHR01000011.1	0.213	0.573	0.23	0.567	0.947	0.947	lavidaviridae	2205	0	33.3	0
LZHR01000012.1||full	LZHR01000012.1	0.94	0.073	0	0.153	0.16	0.94	dsDNAphage	26790	20	67.6	17.6
LZHR01000021.1||full	LZHR01000021.1	0.9	0	0	0.093	0.107	0.9	dsDNAphage	63237	12	42.9	20.8
LZHR01000048.1||full	LZHR01000048.1	0.093	0.307	0.18	0.98	0.407	0.98	NCLDV	2588	0	50	0
LZHR01000049.1||full	LZHR01000049.1	0.973	0	0	0.22	0.04	0.973	dsDNAphage	22438	9	47.1	8.8
LZHR01000057.1||full	LZHR01000057.1	0.147	0.02	0.24	0.567	0.107	0.567	NCLDV	4418	0	20	0
LZHR01000065.1||full	LZHR01000065.1	0.927	0	0	0.047	0.013	0.927	dsDNAphage	16000	8	52.9	23.5
LZHR01000077.1||full	LZHR01000077.1	0.207	0.04	0	0.933	0.173	0.933	NCLDV	10202	0	50	12.5
LZHR01000081.1||full	LZHR01000081.1	0.62	0.013	0	0.073	0.02	0.62	dsDNAphage	7977	0	47.1	11.8
LZHR01000118.1||full	LZHR01000118.1	0.873	0	0	0.047	0.007	0.873	dsDNAphage	107796	13	36.7	35.2
LZGJ01000021.1||full	LZGJ01000021.1	0.913	0	0	0.1	0.007	0.913	dsDNAphage	152501	19	39.1	27.3
LZGJ01000046.1||full	LZGJ01000046.1	0.987	0.04	0	0.353	0.267	0.987	dsDNAphage	29739	12	66.7	4.8
JAIM01000015.1||full	JAIM01000015.1	0.847	0	0	0.353	0.02	0.847	dsDNAphage	26363	6	29.6	14.8
JAIM01000024.1||full	JAIM01000024.1	0.933	0.007	0	0.06	0.033	0.933	dsDNAphage	17360	4	38.1	23.8
JAIM01000054.1||full	JAIM01000054.1	0.567	0.047	0.015	0.74	0.32	0.74	NCLDV	6152	0	28.6	0
JAIM01000055.1||full	JAIM01000055.1	0.067	0.007	0	0.793	0.013	0.793	NCLDV	6917	0	33.3	16.7
JAIM01000059.1||full	JAIM01000059.1	0.147	0.007	0.01	0.82	0.133	0.82	NCLDV	6624	0	50	25
JAIM01000064.1||full	JAIM01000064.1	0.087	0.013	0.055	0.9	0.26	0.9	NCLDV	5783	0	16.7	0
JAIM01000071.1||full	JAIM01000071.1	0.153	0	0.03	0.613	0.273	0.613	NCLDV	4898	0	20	0
JAIM01000124.1||full	JAIM01000124.1	0.627	0.967	0.23	0.987	0.867	0.987	NCLDV	2146	0	100	0
JAIM01000135.1||full	JAIM01000135.1	0.693	0.927	0.135	0.953	0.933	0.953	NCLDV	1850	0	66.7	0
JAIM01000145.1||full	JAIM01000145.1	0.473	0.913	0.255	0.913	0.713	0.913	ssDNA	1259	0	50	0
JAIM01000153.1||full	JAIM01000153.1	0.593	0.933	0.785	0.647	0.993	0.993	lavidaviridae	1710	0	33.3	0
JAIM01000166.1||full	JAIM01000166.1	0.233	0.127	0.325	0.8	0.327	0.8	NCLDV	1307	0	50	0
JAIM01000169.1||full	JAIM01000169.1	0.993	0.967	0.305	0.2	0.533	0.993	dsDNAphage	1464	3	100	0
JAIN01000010.1||full	JAIN01000010.1	0.64	0	0	0	0	0.64	dsDNAphage	56152	2	17.9	32.1
JAIN01000037.1||full	JAIN01000037.1	0.82	0	0	0.233	0.027	0.82	dsDNAphage	11621	2	21.1	21.1
JAIN01000055.1||full	JAIN01000055.1	1	0.153	0.02	0.593	0.14	1	dsDNAphage	6357	7	87.5	12.5
JAIN01000061.1||full	JAIN01000061.1	0.06	0.047	0.095	0.867	0.16	0.867	NCLDV	5612	0	25	0
JAIN01000093.1||full	JAIN01000093.1	0.24	0.027	0.175	0.993	0.82	0.993	NCLDV	2562	0	33.3	0
JAIN01000101.1||full	JAIN01000101.1	0.48	0.74	0.395	0.58	0.773	0.773	lavidaviridae	1890	0	33.3	0
JAIN01000104.1||full	JAIN01000104.1	0.327	0.687	0.105	0.967	0.873	0.967	NCLDV	2066	0	25	0
JAIN01000110.1||full	JAIN01000110.1	0.82	0.993	0.25	0.947	0.807	0.993	ssDNA	1349	0	100	0
JAIN01000118.1||full	JAIN01000118.1	0.333	0.12	0.16	0.707	0.547	0.707	NCLDV	1527	0	50	0
JAIN01000136.1||full	JAIN01000136.1	0.98	1	0.235	0.727	0.347	1	ssDNA	1657	0	66.7	0
JAIN01000157.1||full	JAIN01000157.1	0.293	0.807	0.43	0.72	0.74	0.807	ssDNA	1592	0	33.3	0
VMHM01000015.1||full	VMHM01000015.1	0.92	0	0	0.393	0.007	0.92	dsDNAphage	95991	20	34.7	19.8
VMHM01000017.1||full	VMHM01000017.1	0.82	0	0	0.073	0	0.82	dsDNAphage	86550	13	25.6	23.3
LZGW01000028.1||full	LZGW01000028.1	0.667	0.627	0.49	0.867	0.82	0.867	NCLDV	6000	0	22.2	0
LZGW01000033.1||full	LZGW01000033.1	0.633	0.067	0.01	0.293	0.293	0.633	dsDNAphage	3005	0	42.9	14.3
LZGM01000041.1||full	LZGM01000041.1	0.293	0.193	0.155	1	0.987	1	NCLDV	4224	0	33.3	0
LZGM01000070.1||full	LZGM01000070.1	0.927	0	0	0.047	0.007	0.927	dsDNAphage	126197	32	41.7	27.8
LZGM01000128.1||full	LZGM01000128.1	0.147	0.387	0.045	0.88	0.28	0.88	NCLDV	4482	0	16.7	0
JFON01000011.1||full	JFON01000011.1	0.98	0.84	0.17	0.233	0.473	0.98	dsDNAphage	1516	1	50	0
LYST01000013.1||full	LYST01000013.1	0.987	0.013	0	0.06	0.027	0.987	dsDNAphage	29689	17	55.3	15.8
LYST01000024.1||full	LYST01000024.1	0.78	0.867	0.14	0.807	1	1	lavidaviridae	4529	0	100	0
LYST01000050.1||full	LYST01000050.1	0.667	0.073	0.015	1	0.42	1	NCLDV	4695	0	60	0
LZHM01000011.1||full	LZHM01000011.1	0.98	0.147	0.44	0.287	0.453	0.98	dsDNAphage	6593	1	16.7	0
LZHM01000018.1||full	LZHM01000018.1	0.96	0.007	0	0.073	0.127	0.96	dsDNAphage	15741	1	33.3	13.3
LZHM01000027.1||full	LZHM01000027.1	0.9	0	0	0.007	0.007	0.9	dsDNAphage	62221	10	36.1	30.6
LZHM01000040.1||full	LZHM01000040.1	0.927	0	0	0.287	0.013	0.927	dsDNAphage	73885	17	43.9	20.7
LZHM01000047.1||full	LZHM01000047.1	0.9	0.047	0.005	0.293	0.013	0.9	dsDNAphage	15374	0	48.3	13.8
LZHM01000053.1||full	LZHM01000053.1	0.993	0	0	0.14	0.06	0.993	dsDNAphage	39939	12	56.9	7.8
LZHM01000069.1||full	LZHM01000069.1	0.933	0.027	0.015	0.113	0.007	0.933	dsDNAphage	4753	1	28.6	14.3
LZHM01000086.1||full	LZHM01000086.1	0.78	0	0	0.52	0.027	0.78	dsDNAphage	19894	1	21.7	13
LZHM01000098.1||full	LZHM01000098.1	0.367	0.907	0.335	0.493	0.84	0.907	ssDNA	1955	0	33.3	0
LZGP01000006.1||full	LZGP01000006.1	0.953	0.827	0.195	1	0.947	1	NCLDV	3014	0	80	0
LZGP01000026.1||full	LZGP01000026.1	0.933	0	0	0.193	0.007	0.933	dsDNAphage	80321	10	37.5	27.3
LZGP01000029.1||full	LZGP01000029.1	0.993	0.947	0.275	0.907	0.6	0.993	dsDNAphage	1983	3	100	0
LZGP01000031.1||full	LZGP01000031.1	0.947	0.007	0	0.127	0.007	0.947	dsDNAphage	88895	22	46.9	25.5
LZGP01000032.1||full	LZGP01000032.1	0.833	0	0	0.293	0	0.833	dsDNAphage	26624	7	32.1	39.3
LZGO01000012.1||full	LZGO01000012.1	0.28	0.033	0.01	0.973	0.4	0.973	NCLDV	6371	0	60	20
LZGO01000018.1||full	LZGO01000018.1	0.26	0.127	0.15	0.887	0.793	0.887	NCLDV	2607	0	25	0
LZGO01000035.1||full	LZGO01000035.1	0.66	0.073	0.075	0.953	0.2	0.953	NCLDV	2749	0	50	0
LZGO01000041.1||full	LZGO01000041.1	0.9	0.02	0.005	0.52	0.193	0.9	dsDNAphage	7116	1	41.7	8.3
LZGO01000050.1||full	LZGO01000050.1	0.94	0.02	0	0.933	0.46	0.94	dsDNAphage	3648	2	60	20
LZGO01000066.1||full	LZGO01000066.1	1	0.053	0	0.367	0.053	1	dsDNAphage	11964	10	66.7	13.3
LZGO01000083.1||full	LZGO01000083.1	0.8	0	0	0.027	0.007	0.8	dsDNAphage	146064	11	24.7	30.7
JFZX01000004.1||full	JFZX01000004.1	0.953	0	0	0.08	0.013	0.953	dsDNAphage	81054	17	42.5	22.6
JFZX01000084.1||full	JFZX01000084.1	0.053	0	0.015	0.7	0.193	0.7	NCLDV	4887	0	20	0
JFZX01000086.1||full	JFZX01000086.1	0.827	0.04	0.075	nan	0.253	0.827	dsDNAphage	3585	1	33.3	0
JFZX01000088.1||full	JFZX01000088.1	0.48	0.02	0.005	0.293	0.573	0.573	lavidaviridae	4226	0	37.5	12.5
JFZX01000093.1||full	JFZX01000093.1	0.787	0.073	0.005	0.653	0.02	0.787	dsDNAphage	2701	0	50	16.7
JFZX01000102.1||full	JFZX01000102.1	0.467	0.76	0.595	0.253	0.72	0.76	ssDNA	1777	0	50	0
LZGN01000002.1||full	LZGN01000002.1	0.993	0.1	0.12	0.867	0.14	0.993	dsDNAphage	1930	1	50	0
LZGN01000004.1||full	LZGN01000004.1	0.973	0.02	0	0.393	0.047	0.973	dsDNAphage	2982	2	60	20
LZGN01000008.1||full	LZGN01000008.1	0.86	0.707	0.075	0.827	0.167	0.86	dsDNAphage	2005	0	40	0
LZGN01000016.1||full	LZGN01000016.1	1	0.153	0.105	0.373	0.153	1	dsDNAphage	1979	1	40	0
LZGN01000019.1||full	LZGN01000019.1	0.907	0.893	0.145	0.28	0.807	0.907	dsDNAphage	1980	1	75	0
LZGN01000022.1||full	LZGN01000022.1	0.887	0	0	0.073	0.053	0.887	dsDNAphage	195027	18	32.7	21.9
LZGN01000026.1||full	LZGN01000026.1	0.74	0.767	0.095	0.92	0.5	0.92	NCLDV	2005	0	60	0
LZGN01000041.1||full	LZGN01000041.1	0.993	0.127	0.06	0.247	0.193	0.993	dsDNAphage	13766	8	86.7	0
LZGN01000044.1||full	LZGN01000044.1	0.293	0.873	0.175	0.753	0.987	0.987	lavidaviridae	1514	0	33.3	0
LZEI01000020.1||full	LZEI01000020.1	1	1	0.305	0.853	0.767	1	dsDNAphage	1548	2	100	0
LZEI01000024.1||full	LZEI01000024.1	0.313	0.92	0.28	0.987	0.94	0.987	NCLDV	1689	0	33.3	0
NASK01000078.1||full	NASK01000078.1	0.5	0	0	0	0	0.5	dsDNAphage	32981	3	17.2	41.4
NASK01000058.1||full	NASK01000058.1	0.12	0	0	0.553	0.04	0.553	NCLDV	11647	0	33.3	16.7
NASK01000047.1||full	NASK01000047.1	0.907	0.653	0.2	0.58	1	1	lavidaviridae	5928	0	75	0
NASK01000034.1||full	NASK01000034.1	nan	nan	nan	0.967	nan	0.967	NCLDV	2992	0	50	0
NASK01000028.1||full	NASK01000028.1	0.353	0.7	0.245	1	1	1	NCLDV	2309	0	33.3	0
NASK01000096.1||full	NASK01000096.1	0.933	0.007	0	0.207	0.007	0.933	dsDNAphage	80088	12	41.8	25.3
NASL01000100.1||full	NASL01000100.1	0.313	0.067	0.05	0.853	0.48	0.853	NCLDV	1533	0	50	0
NASL01000084.1||full	NASL01000084.1	0.253	0.087	0.205	0.587	0.287	0.587	NCLDV	4334	0	33.3	0
NASL01000089.1||full	NASL01000089.1	0.187	0.013	0.105	0.7	0.247	0.7	NCLDV	3338	0	25	0
NASL01000093.1||full	NASL01000093.1	0.353	0.147	0.14	0.953	0.267	0.953	NCLDV	2179	0	50	0
NASO01000047.1||full	NASO01000047.1	0.36	0.013	0.01	0.953	0.153	0.953	NCLDV	6985	0	50	16.7
NASO01000049.1||full	NASO01000049.1	0.787	0.907	0.305	0.813	0.967	0.967	lavidaviridae	3539	0	100	0
NASO01000054.1||full	NASO01000054.1	0.327	0.013	0.01	0.707	0.16	0.707	NCLDV	4285	0	33.3	16.7
NASP01000036.1||full	NASP01000036.1	0.36	0.013	0.02	0.86	0.12	0.86	NCLDV	14344	0	60	20
NASR01000033.1||full	NASR01000033.1	0.313	0	0.01	0.927	0.093	0.927	NCLDV	16906	0	58.3	16.7
NASR01000051.1||full	NASR01000051.1	0.333	0.013	0.01	0.773	0.153	0.773	NCLDV	4421	0	33.3	16.7
NASU01000020.1||full	NASU01000020.1	0.92	0	0	0.06	0.013	0.92	dsDNAphage	48336	13	38.2	18.2
NASU01000059.1||full	NASU01000059.1	0.807	0.813	0.295	0.613	0.973	0.973	lavidaviridae	3520	0	100	0
NASV01000100.1||full	NASV01000100.1	0.527	0.78	0.095	0.707	0.333	0.78	ssDNA	2381	0	33.3	0
NASV01000031.1||full	NASV01000031.1	0.647	0	0	0	0	0.647	dsDNAphage	26606	2	18.5	37
NASV01000083.1||full	NASV01000083.1	0.193	0.04	0.07	0.973	0.3	0.973	NCLDV	5057	0	40	0
NASV01000098.1||full	NASV01000098.1	0.3	0.18	0.335	0.967	0.253	0.967	NCLDV	1998	0	50	0
NASI01000109.1||full	NASI01000109.1	0.887	0.693	0.265	0.767	0.987	0.987	lavidaviridae	3660	0	66.7	0
NASI01000114.1||full	NASI01000114.1	0.113	0.027	0.085	1	0.353	1	NCLDV	3488	0	25	0
NASI01000036.1||full	NASI01000036.1	0.047	0	0.1	0.933	0.293	0.933	NCLDV	23067	0	16.7	0
NASI01000055.1||full	NASI01000055.1	0.827	0	0	0.013	0.007	0.827	dsDNAphage	14461	3	26.3	26.3
NASI01000082.1||full	NASI01000082.1	0.207	0	0.01	0.793	0.207	0.793	NCLDV	7667	0	42.9	14.3
NASI01000094.1||full	NASI01000094.1	0.86	0.067	0	0.027	0.007	0.86	dsDNAphage	6211	0	46.7	13.3
NASG01000031.1||full	NASG01000031.1	0.907	0.007	0	0.013	0.013	0.907	dsDNAphage	23798	3	32.4	27
NASG01000038.1||full	NASG01000038.1	0.16	0.007	0.01	0.8	0.227	0.8	NCLDV	7262	0	42.9	14.3
NASF01000035.1||full	NASF01000035.1	0.873	0	0	0.02	0.013	0.873	dsDNAphage	25063	3	31.6	26.3
NASF01000054.1||full	NASF01000054.1	0.947	0.693	0.39	0.713	0.987	0.987	lavidaviridae	4665	0	66.7	0
NASE01000025.1||full	NASE01000025.1	0.84	0	0	0.007	0	0.84	dsDNAphage	34547	3	25.5	36.2
NASM01000103.1||full	NASM01000103.1	0.14	0	0.025	0.673	0.08	0.673	NCLDV	6723	0	33.3	16.7
NASM01000113.1||full	NASM01000113.1	0.867	0.067	0	0.027	0.007	0.867	dsDNAphage	6406	0	46.7	13.3
NASM01000129.1||full	NASM01000129.1	0.427	0.307	0.105	0.793	0.987	0.987	lavidaviridae	4218	0	50	0
NASM01000132.1||full	NASM01000132.1	0.287	0.013	0.03	0.68	0.073	0.68	NCLDV	3916	0	40	20
NASM01000136.1||full	NASM01000136.1	nan	nan	nan	0.94	nan	0.94	NCLDV	2849	0	50	0
NASM01000143.1||full	NASM01000143.1	0.92	0.693	0.59	0.587	0.993	0.993	lavidaviridae	3373	0	33.3	0
NASM01000150.1||full	NASM01000150.1	0.253	0.113	0.25	0.687	0.533	0.687	NCLDV	2391	0	50	0
NASM01000156.1||full	NASM01000156.1	0.18	0.267	0.07	0.827	0.107	0.827	NCLDV	2072	0	33.3	0
