protein	nogbit	nogcat	nogdomain	nogevalue	noghit	nogname
KQ034021.1||0_partial_1__00005	36.1	S	Bacteria	4.40E-09	30DAZ	Phage uncharacterised protein (Phage_XkdX)
KQ034021.1||0_partial_1__00006	29.5	S	Bacteria	5.60E-07	30ATQ	unknown
KQ034021.1||0_partial_1__00008	25.3	S	Bacteria	8.00E-06	2ZBVP	unknown
KQ034021.1||0_partial_1__00009	19.1	S	Bacteria	0.00099	30GUK	unknown
KQ034021.1||0_partial_1__00011	90.3	S	Bacteria	1.50E-25	COG4722	phage tail
KQ034021.1||0_partial_1__00012	181.2	S	Virus	2.40E-53	4QF5E	
KQ034021.1||0_partial_1__00013	114.9	S	Bacteria	2.20E-33	33BHZ	unknown
KQ034021.1||0_partial_1__00014	129.1	S	Bacteria	7.70E-38	333J2	"Phage tail assembly chaperone protein, TAC"
KQ034021.1||0_partial_1__00015	274.8	S	Bacteria	3.00E-82	33TZM	Phage tail tube protein
KQ034021.1||0_partial_1__00016	101.4	S	Bacteria	3.50E-29	334JI	Protein of unknown function (DUF3168)
KQ034021.1||0_partial_1__00017	134.9	S	Bacteria	1.30E-39	32ZS6	"Bacteriophage HK97-gp10, putative tail-component"
KQ034021.1||0_partial_1__00018	109	S	Bacteria	1.30E-31	332JW	unknown
KQ034021.1||0_partial_1__00019	114.6	S	Bacteria	2.30E-33	33E9D	Phage gp6-like head-tail connector protein
KQ034021.1||0_partial_1__00020	312.3	S	Bacteria	2.30E-93	305QN	unknown
KQ034021.1||0_partial_1__00021	84.4	S	Bacteria	8.20E-24	30AJK	Domain of unknown function (DUF4355)
KQ034021.1||0_partial_1__00023	96.9	S	Virus	1.80E-27	4QC5Z	Phage Mu protein F like protein
KQ034021.1||0_partial_1__00024	446.1	S	Bacteria	1.20E-133	2Z7Z6	"Phage portal protein, SPP1 family"
KQ034021.1||0_partial_1__00025	545.2	S	Virus	7.30E-164	4QAQF	Terminase-like family
KQ034021.1||0_partial_1__00026	109.5	S	Virus	2.20E-31	4QB6U	Terminase small subunit
KQ034021.1||0_partial_1__00027	51.2	S	Virus	1.30E-13	4QHJ6	
KQ034021.1||0_partial_1__00028	39	S	Bacteria	7.00E-10	2ZM93	unknown
KQ034021.1||0_partial_1__00029	106.7	S	Bacteria	1.00E-30	3333C	"Transcriptional regulator, ArpU family"
KQ034021.1||0_partial_1__00030	23.7	S	Bacteria	3.50E-05	30B9A	unknown
KQ034021.1||0_partial_1__00031	150.2	S	Bacteria	2.10E-44	32YEF	VRR-NUC domain
KQ034021.1||0_partial_1__00033	42	K	Bacteria	6.30E-11	33EV8	Cro/C1-type HTH DNA-binding domain
KQ034021.1||0_partial_1__00034	202.9	S	Bacteria	6.00E-60	32YK2	Domain of unknown function (DUF4393)
KQ034021.1||0_partial_1__00036	319	S	Virus	9.70E-95	4QCHV	Virulence-associated protein E
KQ034021.1||0_partial_1__00037	110.6	S	Bacteria	6.80E-32	2ZKKW	Primase C terminal 1 (PriCT-1)
KQ034021.1||0_partial_1__00038	185.9	S	Bacteria	4.80E-55	32WZE	unknown
KQ034021.1||0_partial_1__00039	298.3	S	Virus	3.90E-89	4QCJP	AAA domain
KQ034021.1||0_partial_1__00041	253.6	KL	Eukarya	4.00E-75	2QT4U	DEAD DEAH box helicase
KQ034021.1||0_partial_1__00042	98.5	K	Bacteria	3.10E-28	COG1476	TRANSCRIPTIONal
KQ034021.1||0_partial_1__00044	181.9	S	Bacteria	7.80E-54	32XB4	Siphovirus Gp157
KQ034021.1||0_partial_1__00045	44.8	S	Bacteria	1.30E-11	30AQV	unknown
KQ034021.1||0_partial_1__00047	138.8	S	Bacteria	6.00E-41	30AFP	Domain of unknown function (DUF771)
KQ034021.1||0_partial_1__00048	19.4	S	Bacteria	0.00077	335P2	unknown
KQ034021.1||0_partial_1__00049	42	S	Bacteria	6.40E-11	30BN9	unknown
KQ034021.1||0_partial_1__00050	144.8	S	Bacteria	1.50E-42	331M4	Hypothetical protein (DUF2513)
KQ034021.1||0_partial_1__00051	57	S	Bacteria	1.80E-15	30AS3	unknown
KQ034021.1||0_partial_1__00052	66.1	K	Bacteria	3.50E-18	32V5G	unknown
KQ034021.1||0_partial_1__00053	51.4	S	Bacteria	9.90E-14	2ZUZT	Pfam:DUF955
KQ034021.1||0_partial_1__00055	216.9	S	Virus	5.50E-64	4QAQE	Phage integrase family
KQ034021.1||0_partial_1__00056	592.6	S	Bacteria	1.80E-178	30AZB	unknown
KQ440388.1||0_partial_1__00001	133.2	G	Bacteria	9.60E-39	COG3525	"Glycosyl hydrolase, family 20, catalytic domain"
KQ440388.1||0_partial_1__00002	18.9	S	Eukarya	0.00086	2SQ9Z	unknown
KQ440388.1||0_partial_1__00003	83.2	M	Bacteria	1.70E-23	COG3757	"hydrolase, family 25"
KQ440388.1||0_partial_1__00004	35.2	S	Bacteria	1.00E-08	30RYE	Bacteriophage holin of superfamily 6 (Holin_LLH)
KQ440388.1||0_partial_1__00005	58.4	S	Virus	4.80E-16	4QBDC	Pfam:Phage_holin_4_1
KQ440388.1||0_partial_1__00007	28.1	S	Eukarya	3.60E-07	2QTRF	unknown
KQ440388.1||0_partial_1__00008	41.1	S	Bacteria	9.90E-11	309S3	unknown
KQ440388.1||0_partial_1__00009	117.6	S	Bacteria	4.40E-34	322RC	unknown
KQ440388.1||0_partial_1__00010	193.2	S	Virus	8.20E-57	4QAMU	Baseplate J-like protein
KQ440388.1||0_partial_1__00011	237.9	S	Bacteria	1.90E-71	30BG0	unknown
KQ440388.1||0_partial_1__00012	233.7	S	Bacteria	4.10E-70	30BFE	unknown
KQ440388.1||0_partial_1__00013	176.6	S	Bacteria	5.80E-52	32TSY	unknown
KQ440388.1||0_partial_1__00014	145.5	S	Bacteria	3.90E-43	32YB6	unknown
KQ440388.1||0_partial_1__00016	211.3	S	Bacteria	2.50E-62	COG3953	SLT domain
KQ440388.1||0_partial_1__00018	304.6	S	Bacteria	1.10E-91	30BF8	unknown
KQ440388.1||0_partial_1__00019	267.7	S	Bacteria	1.90E-80	30BDA	unknown
KQ440388.1||0_partial_1__00020	568	S	Bacteria	7.20E-171	309BH	Protein of unknown function (DUF3383)
KQ440388.1||0_partial_1__00021	283.7	S	Bacteria	3.10E-85	32AYT	unknown
KQ440388.1||0_partial_1__00022	260.6	S	Bacteria	2.30E-78	30BRU	unknown
KQ440388.1||0_partial_1__00023	199.5	S	Bacteria	4.30E-59	32GHE	unknown
KQ440388.1||0_partial_1__00024	212.4	S	Bacteria	1.20E-63	30BNT	unknown
KQ440388.1||0_partial_1__00025	30.3	S	Eukarya	2.10E-07	2SCJ7	Lysin motif
KQ440388.1||0_partial_1__00026	282.5	S	Bacteria	3.10E-84	2ZCHY	Phage major capsid protein E
KQ440388.1||0_partial_1__00027	247.1	S	Bacteria	3.40E-74	30BMN	unknown
KQ440388.1||0_partial_1__00028	45.5	S	Bacteria	8.50E-12	32YZX	Domain of unknown function (DUF4355)
KQ440388.1||0_partial_1__00029	115.8	S	Bacteria	2.10E-33	34C4P	unknown
KQ440388.1||0_partial_1__00030	382.3	S	Bacteria	2.70E-114	2Z7Z6	"Phage portal protein, SPP1 family"
KQ440388.1||0_partial_1__00031	30.3	L	Archaea	1.30E-07	arCOG03145	Possesses two activities a DNA synthesis (polymerase) and an exonucleolytic activity that degrades single-stranded DNA in the 3'- to 5'-direction. Has a template-primer preference which is characteristic of a replicative DNA polymerase
KQ440388.1||0_partial_1__00032	237.6	L	Bacteria	1.10E-70	33P8N	HNH endonuclease
KQ440388.1||0_partial_1__00033	476.6	S	Virus	6.00E-143	4QC1Z	Terminase-like family
KQ440388.1||0_partial_1__00035	19.2	S	Bacteria	0.00086	30U2T	"Psort location Cytoplasmic, score"
KQ440388.1||0_partial_1__00037	100.5	S	Virus	1.30E-28	4QB6U	Terminase small subunit
KQ440388.1||0_partial_1__00040	92.8	S	Virus	1.80E-26	4QF0X	Pfam:HicB_lk_antitox
KQ440388.1||0_partial_1__00041	75.2	S	Bacteria	3.00E-21	33BXQ	"HicA toxin of bacterial toxin-antitoxin,"
KQ440388.1||0_partial_1__00042	65.7	S	Bacteria	4.70E-18	3333C	"Transcriptional regulator, ArpU family"
KQ440388.1||0_partial_1__00044	216.7	S	Bacteria	2.90E-64	32SWP	Putative HNHc nuclease
KQ440388.1||0_partial_1__00045	20.1	S	Bacteria	0.00047	32CCJ	unknown
KQ440388.1||0_partial_1__00046	22	S	Bacteria	0.00012	30B9A	unknown
KQ440388.1||0_partial_1__00049	221.6	S	Virus	1.10E-65	4QBU2	IstB-like ATP binding protein
KQ440388.1||0_partial_1__00050	68.2	S	Bacteria	9.20E-19	32758	Phage replisome organizer
KQ440388.1||0_partial_1__00052	187.1	S	Virus	2.00E-55	4QAU9	Single-strand binding protein family
KQ440388.1||0_partial_1__00053	137.8	S	Bacteria	3.40E-40	32RPD	Erf family
KQ440388.1||0_partial_1__00054	276	S	Bacteria	4.50E-82	33BYN	Protein of unknown function (DUF1351)
KQ440388.1||0_partial_1__00056	40.4	S	Virus	2.60E-10	4QDM2	
KQ440388.1||0_partial_1__00058	28.9	S	Bacteria	1.00E-06	30GJV	unknown
KQ440388.1||0_partial_1__00060	75.7	S	Bacteria	1.60E-21	30ATA	unknown
KQ440388.1||0_partial_1__00061	120.4	S	Bacteria	6.40E-35	COG3646	Phage regulatory protein
KQ440388.1||0_partial_1__00062	43.8	S	Virus	2.00E-11	4QB0K	Protein of unknown function (DUF739)
KQ440388.1||0_partial_1__00063	42.8	K	Bacteria	4.00E-11	2ZXXG	Cro/C1-type HTH DNA-binding domain
KQ440388.1||0_partial_1__00064	124.6	S	Bacteria	2.50E-36	34CGV	unknown
KQ440388.1||0_partial_1__00065	130.2	S	Virus	7.40E-38	4QBN1	Host cell surface-exposed lipoprotein
KQ440388.1||0_partial_1__00066	27.7	S	Bacteria	1.60E-06	30BKI	unknown
KQ440388.1||0_partial_1__00067	118.3	S	Virus	3.50E-34	4QBN1	Host cell surface-exposed lipoprotein
KQ440388.1||0_partial_1__00069	75.8	S	Bacteria	4.70E-21	COG3654	unknown
KQ440388.1||0_partial_1__00071	46.7	S	Bacteria	2.90E-12	32NA3	unknown
KQ440388.1||0_partial_1__00072	50.8	K	Bacteria	1.40E-13	33MC1	Cro/C1-type HTH DNA-binding domain
KQ440388.1||0_partial_1__00073	245.6	S	Virus	9.80E-73	4QAQE	Phage integrase family
LAWY01000002.1||0_partial__00001	103.8	S	Bacteria	3.60E-30	33BM4	YyzF-like protein
LAWY01000002.1||0_partial__00002	204.7	O	Archaea	2.10E-60	arCOG02833	"COG0265 Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain"
LAWY01000002.1||0_partial__00003	73.4	S	Bacteria	1.30E-20	33H3T	unknown
LAWY01000002.1||0_partial__00004	247.3	J	Archaea	1.40E-73	arCOG00502	PFAM beta-lactamase domain protein
LAWY01000002.1||0_partial__00005	159.3	S	Bacteria	1.70E-46	COG4853	Protein conserved in bacteria
LAWY01000002.1||0_partial__00006	333.7	S	Bacteria	1.90E-99	COG4863	YycH protein
LAWY01000002.1||0_partial__00007	293.3	T	Bacteria	2.90E-87	COG2770	Histidine kinase
LAWY01000002.1||0_partial__00008	271.6	T	Eukarya	1.30E-80	2S0V7	"Transcriptional regulatory protein, C terminal"
LAWY01000002.1||0_partial__00009	121.1	M	Eukarya	6.00E-35	2S9HN	Peptidase family M23
LAWY01000002.1||0_partial__00010	181.2	S	Bacteria	3.20E-53	32XC5	unknown
LAWY01000002.1||0_partial__00011	83.9	S	Bacteria	1.30E-23	COG5294	Protein conserved in bacteria
LAWY01000007.1||full_1__00001	156.2	O	Archaea	1.50E-45	arCOG01308	"Cell division protein 48, CDC48, domain 2"
LAWY01000007.1||full_1__00002	150.5	S	Virus	1.00E-44	4QCKR	
LAWY01000007.1||full_1__00003	115.2	S	Virus	1.50E-33	4QCCA	
LAWY01000007.1||full_1__00004	75.3	S	Bacteria	5.40E-21	2Z99H	unknown
LAWY01000007.1||full_1__00005	115.4	M	Bacteria	2.40E-33	COG5632	N-Acetylmuramoyl-L-alanine amidase
LAWY01000007.1||full_1__00006	185.4	S	Virus	1.60E-55	4QDII	Pfam:Holin_BhlA
LAWY01000007.1||full_1__00007	125.2	S	Bacteria	7.50E-37	2ZQ0A	unknown
LAWY01000007.1||full_1__00009	213.6	S	Eukarya	5.70E-63	KOG1072	protein ubiquitination
LAWY01000007.1||full_1__00010	124.8	S	Bacteria	1.30E-36	33NU8	unknown
LAWY01000007.1||full_1__00011	89.1	S	Virus	2.50E-25	4QAYF	Uncharacterized protein conserved in bacteria (DUF2313)
LAWY01000007.1||full_1__00012	190.1	S	Virus	6.90E-56	4QAMU	Baseplate J-like protein
LAWY01000007.1||full_1__00013	81.6	S	Bacteria	4.20E-23	31F2E	Protein of unknown function (DUF2634)
LAWY01000007.1||full_1__00014	92.8	S	Bacteria	1.20E-26	33B66	Protein of unknown function (DUF2577)
LAWY01000007.1||full_1__00015	214.1	S	Eukarya	3.70E-63	2SSGJ	unknown
LAWY01000007.1||full_1__00016	55.9	S	Bacteria	4.20E-15	33C6C	unknown
LAWY01000007.1||full_1__00017	592.2	S	Virus	1.50E-177	4QBJU	
LAWY01000007.1||full_1__00018	124.7	S	Bacteria	9.20E-37	33MIG	unknown
LAWY01000007.1||full_1__00019	205.8	S	Bacteria	2.20E-61	334J1	"Phage XkdN-like tail assembly chaperone protein, TAC"
LAWY01000007.1||full_1__00020	132.1	S	Bacteria	1.10E-38	2ZCKJ	Phage tail tube protein
LAWY01000007.1||full_1__00021	47.1	S	Bacteria	1.70E-12	32R8A	Phage tail tube protein
LAWY01000007.1||full_1__00022	572.3	S	Bacteria	6.00E-172	2Z8I6	Pfam Phage tail sheath protein
LAWY01000007.1||full_1__00023	54.4	S	Bacteria	8.50E-15	32FG6	unknown
LAWY01000007.1||full_1__00024	160	S	Bacteria	3.10E-47	32YNZ	unknown
LAWY01000007.1||full_1__00025	190.6	S	Bacteria	9.10E-57	31HE4	"Bacteriophage HK97-gp10, putative tail-component"
LAWY01000007.1||full_1__00026	145.8	S	Bacteria	4.90E-43	32SVF	unknown
LAWY01000007.1||full_1__00027	132.5	S	Bacteria	5.90E-39	32ST4	unknown
LAWY01000007.1||full_1__00029	497.6	S	Bacteria	1.20E-149	2ZCHY	Phage major capsid protein E
LAWY01000007.1||full_1__00030	146.6	S	Bacteria	3.20E-43	33DP1	unknown
LAWY01000007.1||full_1__00031	200.6	S	Bacteria	1.80E-59	32H0P	minor structural
LAWY01000007.1||full_1__00032	147.4	S	Virus	9.60E-43	4QC5Z	Phage Mu protein F like protein
LAWY01000007.1||full_1__00033	597.8	S	Bacteria	1.20E-179	2Z7ZB	Portal protein
LAWY01000007.1||full_1__00034	410.2	S	Virus	6.80E-123	4QG21	Phage terminase large subunit
LAWY01000007.1||full_1__00035	214.7	S	Virus	1.20E-63	4QEER	
LAWY01000007.1||full_1__00038	131.4	S	Bacteria	9.60E-39	33BWX	unknown
LAWY01000007.1||full_1__00039	34	S	Eukarya	1.70E-08	2T0J3	ECF sigma factor
LAWY01000007.1||full_1__00040	20.4	S	Bacteria	0.00028	333UM	unknown
LAWY01000007.1||full_1__00041	174.8	S	Bacteria	3.70E-52	34A9H	unknown
LAWY01000007.1||full_1__00042	147.9	L	Eukarya	4.70E-43	2SGCR	DNA methylase
LAWY01000007.1||full_1__00043	327.4	S	Bacteria	1.90E-98	349N1	unknown
LAWY01000007.1||full_1__00046	60.8	L	Bacteria	1.80E-16	COG4570	"Endonuclease that resolves Holliday junction intermediates made during homologous genetic recombination and DNA repair. Exhibits sequence and structure-selective cleavage of four-way DNA junctions, where it introduces symmetrical nicks in two strands of the same polarity at the 5' side of dinucleotides. Corrects the defects in genetic recombination and DNA repair associated with inactivation of ruvAB or ruvC"
LAWY01000007.1||full_1__00047	70.8	S	Bacteria	4.70E-20	33AYC	unknown
LAWY01000007.1||full_1__00049	106.5	S	Virus	1.60E-30	4QBU2	IstB-like ATP binding protein
LAWY01000007.1||full_1__00050	45.3	S	Bacteria	8.20E-12	336MN	unknown
LAWY01000007.1||full_1__00051	29	S	Bacteria	1.10E-06	33P45	HNH nucleases
LAWY01000007.1||full_1__00052	83	S	Virus	2.30E-23	4QBP3	PDDEXK-like domain of unknown function (DUF3799)
LAWY01000007.1||full_1__00053	377.6	S	Bacteria	3.30E-113	2ZA3S	unknown
LAWY01000007.1||full_1__00054	66.7	S	Virus	1.90E-18	4QEW8	
LAWY01000007.1||full_1__00055	214.1	S	Bacteria	1.00E-63	313RY	Protein of unknown function (DUF1256)
LAWY01000007.1||full_1__00056	57.4	S	Bacteria	1.00E-15	30R40	unknown
LAWY01000007.1||full_1__00060	189	S	Bacteria	1.30E-55	32SRE	ORF6N domain
LAWY01000007.1||full_1__00063	162.5	S	Bacteria	1.70E-47	COG3645	SOS response
LAWY01000007.1||full_1__00065	104.9	K	Bacteria	4.60E-30	COG2002	toxin-antitoxin pair type II binding
LAWY01000007.1||full_1__00067	138.3	S	Virus	5.90E-41	4QC3C	
LAWY01000007.1||full_1__00069	21.3	S	Bacteria	0.00019	33M09	YjcQ protein
LAWY01000007.1||full_1__00071	157.2	K	Bacteria	4.40E-46	COG3561	AntA/AntB antirepressor
LAWY01000007.1||full_1__00072	32.8	K	Bacteria	6.50E-08	31YMI	Helix-turn-helix domain
LAWY01000007.1||full_1__00073	68.5	K	Bacteria	6.90E-19	COG1813	peptidyl-tyrosine sulfation
LAWY01000007.1||full_1__00074	214.6	S	Virus	2.60E-63	4QAQE	Phage integrase family
LAWY01000015.1||full_1__00001	175.2	S	Virus	2.40E-51	4QAMU	Baseplate J-like protein
LAWY01000015.1||full_1__00002	86.2	S	Bacteria	1.70E-24	31F2E	Protein of unknown function (DUF2634)
LAWY01000015.1||full_1__00003	123.2	S	Bacteria	4.10E-36	33B66	Protein of unknown function (DUF2577)
LAWY01000015.1||full_1__00004	224.6	S	Eukarya	2.40E-66	2SSGJ	unknown
LAWY01000015.1||full_1__00005	63.7	S	Bacteria	1.80E-17	33C6C	unknown
LAWY01000015.1||full_1__00006	539.6	S	Virus	1.30E-161	4QBJU	
LAWY01000015.1||full_1__00007	195.1	S	Bacteria	4.40E-58	334J1	"Phage XkdN-like tail assembly chaperone protein, TAC"
LAWY01000015.1||full_1__00008	229.2	S	Bacteria	1.40E-68	32R8A	Phage tail tube protein
LAWY01000015.1||full_1__00009	542.5	S	Bacteria	6.60E-163	2Z8I6	Pfam Phage tail sheath protein
LAWY01000015.1||full_1__00010	63	S	Bacteria	1.70E-17	32FG6	unknown
LAWY01000015.1||full_1__00011	73.6	S	Bacteria	1.40E-20	32YNZ	unknown
LAWY01000015.1||full_1__00012	115.7	S	Bacteria	2.50E-33	3375J	unknown
LAWY01000015.1||full_1__00013	231.2	S	Bacteria	3.80E-69	32W2M	unknown
LAWY01000015.1||full_1__00014	49.2	K	Bacteria	4.90E-13	COG1476	TRANSCRIPTIONal
LAWY01000015.1||full_1__00015	94	S	Virus	7.20E-27	4QCCB	Pfam:Peptidase_M78
LAWY01000015.1||full_1__00016	101.8	S	Bacteria	4.20E-29	3375J	unknown
LAWY01000015.1||full_1__00017	37.6	S	Bacteria	9.60E-10	2ZAKU	"Psort location CytoplasmicMembrane, score"
LAWY01000015.1||full_1__00018	122.9	S	Bacteria	1.60E-35	COG3081	Nucleoid-associated protein
LAWY01000015.1||full_1__00025	40	L	Archaea	1.30E-10	arCOG09405	Peptidoglycan-binding domain 1 protein
LAWY01000015.1||full_1__00026	118.5	S	Bacteria	9.80E-35	3396V	unknown
LAWY01000021.1||full_1__00001	73.8	L	Bacteria	1.30E-20	32CGX	unknown
LAWY01000021.1||full_1__00002	93.3	S	Bacteria	9.10E-27	33G8I	unknown
LAWY01000021.1||full_1__00004	59	N	Bacteria	3.60E-16	COG1724	mRNA binding
LAWY01000021.1||full_1__00005	196.4	S	Virus	1.60E-58	4QF0X	Pfam:HicB_lk_antitox
LAWY01000021.1||full_1__00006	69.4	S	Bacteria	3.70E-19	COG5294	Protein conserved in bacteria
LAWY01000021.1||full_1__00007	169.5	S	Bacteria	3.90E-50	32W2M	unknown
LAWY01000021.1||full_1__00011	27.8	S	Bacteria	2.20E-06	31SZK	unknown
LAWY01000021.1||full_1__00012	145.1	S	Virus	2.90E-42	4QAIJ	C-5 cytosine-specific DNA methylase
LAWY01000021.1||full_1__00013	20.2	S	Virus	0.00046	4QB68	
LAWY01000021.1||full_1__00014	51.3	L	Bacteria	1.50E-13	COG4570	"Endonuclease that resolves Holliday junction intermediates made during homologous genetic recombination and DNA repair. Exhibits sequence and structure-selective cleavage of four-way DNA junctions, where it introduces symmetrical nicks in two strands of the same polarity at the 5' side of dinucleotides. Corrects the defects in genetic recombination and DNA repair associated with inactivation of ruvAB or ruvC"
LAWY01000021.1||full_1__00015	75.1	S	Bacteria	2.10E-21	33AYC	unknown
LAWY01000021.1||full_1__00017	128.5	S	Virus	3.00E-37	4QBU2	IstB-like ATP binding protein
LAWY01000021.1||full_1__00018	83.8	S	Bacteria	2.00E-23	33070	unknown
LAWY01000021.1||full_1__00019	28.5	S	Bacteria	1.70E-06	33P45	HNH nucleases
LAWY01000021.1||full_1__00020	159.8	S	Bacteria	3.40E-47	306HY	unknown
LAWY01000021.1||full_1__00021	162	S	Virus	1.00E-47	4QAU9	Single-strand binding protein family
LAWY01000021.1||full_1__00022	217.5	S	Bacteria	2.20E-64	2ZWYS	ERF superfamily
LAWY01000021.1||full_1__00023	165.8	S	Bacteria	6.40E-49	3301E	Bacteriophage Mu Gam like protein
LAWY01000021.1||full_1__00025	36.6	S	Virus	3.90E-09	4QE9S	
LAWY01000021.1||full_1__00026	108.8	S	Virus	1.20E-31	4QE9S	
LAWY01000021.1||full_1__00027	101.7	S	Bacteria	4.00E-29	33HHF	unknown
LAWY01000021.1||full_1__00030	171.6	S	Bacteria	2.70E-50	COG3645	SOS response
LAWY01000021.1||full_1__00031	147.9	S	Virus	7.00E-44	4QEAN	
LAWY01000021.1||full_1__00032	155.7	S	Virus	2.10E-46	4QC3C	
LAWY01000021.1||full_1__00034	145.8	S	Virus	2.40E-43	4QDB9	
LAWY01000021.1||full_1__00035	71.9	S	Bacteria	3.50E-20	306F8	unknown
LAWY01000021.1||full_1__00037	39.2	K	Bacteria	6.50E-10	COG1813	peptidyl-tyrosine sulfation
LAWY01000021.1||full_1__00038	51.4	K	Bacteria	8.70E-14	33B42	Cro/C1-type HTH DNA-binding domain
LAWY01000021.1||full_1__00039	285.1	S	Virus	1.10E-84	4QBIH	recombinase activity
LAWY01000028.1||0_partial_1__00001	42.2	S	Virus	7.10E-11	4QAQE	Phage integrase family
LAWY01000028.1||0_partial_1__00002	43.8	S	Bacteria	2.00E-11	32423	unknown
LAWY01000028.1||0_partial_1__00003	528.3	S	Bacteria	2.90E-159	33VJF	unknown
LAWY01000028.1||0_partial_1__00007	71.3	S	Bacteria	1.20E-19	2ZQEV	unknown
LAWY01000028.1||0_partial_1__00008	183.6	S	Virus	5.80E-55	4QDII	Pfam:Holin_BhlA
LAWY01000028.1||0_partial_1__00009	115.2	M	Bacteria	2.70E-33	COG5632	N-Acetylmuramoyl-L-alanine amidase
LAWY01000028.1||0_partial_1__00010	154.2	S	Virus	7.00E-46	4QCKR	
LAWY01000028.1||0_partial_1__00011	28.8	S	Bacteria	9.80E-07	327FB	CENP-B N-terminal DNA-binding domain
LAWY01000028.1||0_partial_1__00012	79.5	L	Archaea	2.40E-22	arCOG10339	Integrase core domain
LAWY01000028.1||0_partial_1__00013	169.6	S	Bacteria	1.40E-50	301EI	STAS-like domain of unknown function (DUF4325)
LAWY01000028.1||0_partial_1__00014	66.7	E	Eukarya	1.60E-18	2QVCA	glycine amidinotransferase activity
LAWY01000036.1||full_1__00001	48.2	S	Bacteria	1.10E-12	30J7K	Helix-turn-helix domain
LAWY01000036.1||full_1__00002	219.7	L	Eukarya	4.90E-65	2SPGZ	Integrase core domain
LAWY01000036.1||full_1__00003	55.3	S	Bacteria	5.10E-15	334F6	Winged helix-turn helix
LAWY01000036.1||full_1__00004	156.1	S	Virus	1.90E-46	4QCKR	
LAWY01000036.1||full_1__00005	96.3	S	Bacteria	1.70E-27	32SVK	unknown
LAWY01000036.1||full_1__00006	110.2	M	Bacteria	9.60E-32	COG5632	N-Acetylmuramoyl-L-alanine amidase
LAWY01000036.1||full_1__00007	149.9	S	Bacteria	9.90E-44	COG4824	toxin secretion phage lysis holin
LAWY01000036.1||full_1__00008	106.5	S	Virus	4.60E-31	4QEHA	
LAWY01000036.1||full_1__00009	81.7	S	Virus	3.10E-23	4QCNP	
LAWY01000036.1||full_1__00010	57.2	S	Virus	1.80E-15	4QCYA	cell adhesion
LAWY01000036.1||full_1__00011	65.6	S	Bacteria	8.30E-18	COG4926	Phage minor structural protein
LAWY01000036.1||full_1__00012	165	S	Virus	1.80E-48	4QCFF	
LAWY01000036.1||full_1__00013	217	S	Virus	3.90E-64	4QFF1	
LAWY01000036.1||full_1__00014	175.1	S	Bacteria	4.80E-52	32XJQ	unknown
LAWY01000036.1||full_1__00015	135.9	S	Bacteria	3.90E-40	33J1M	unknown
LAWY01000036.1||full_1__00016	195.9	S	Bacteria	5.70E-58	COG5437	major tail protein TP901-1 family
LAWY01000036.1||full_1__00017	191.2	S	Bacteria	5.80E-57	335RA	Domain of unknown function (DUF5072)
LAWY01000036.1||full_1__00018	159.3	S	Bacteria	3.20E-47	32YF3	unknown
LAWY01000036.1||full_1__00019	80.3	S	Bacteria	8.00E-23	2ZX3I	unknown
LAWY01000036.1||full_1__00020	123.8	S	Bacteria	3.20E-36	3390I	unknown
LAWY01000036.1||full_1__00021	353.8	S	Bacteria	5.60E-106	305QN	unknown
LAWY01000036.1||full_1__00022	175.2	S	Bacteria	1.80E-51	32YZX	Domain of unknown function (DUF4355)
LAWY01000036.1||full_1__00023	99.2	S	Virus	3.80E-28	4QC5Z	Phage Mu protein F like protein
LAWY01000036.1||full_1__00024	498.7	S	Bacteria	1.40E-149	2Z7Z6	"Phage portal protein, SPP1 family"
LAWY01000036.1||full_1__00025	542	S	Virus	8.30E-163	4QC1Z	Terminase-like family
LAWY01000036.1||full_1__00026	219.2	S	Virus	5.00E-65	4QEER	
LAWY01000036.1||full_1__00028	112.8	S	Bacteria	1.40E-32	33670	unknown
LAWY01000036.1||full_1__00029	21.6	S	Bacteria	0.00015	32DE8	Protein of unknown function (DUF2829)
LAWY01000036.1||full_1__00030	132.5	S	Bacteria	4.20E-39	33BWX	unknown
LAWY01000036.1||full_1__00031	171.4	S	Bacteria	8.50E-51	30XF2	unknown
LAWY01000036.1||full_1__00032	80.4	S	Bacteria	5.50E-23	30BXN	unknown
LAWY01000036.1||full_1__00033	114.8	S	Virus	4.90E-33	4QC5H	sigma factor activity
LAWY01000036.1||full_1__00034	68.1	S	Bacteria	3.40E-19	30AXH	unknown
LAWY01000036.1||full_1__00035	87.5	S	Virus	9.80E-25	4QB0C	Endodeoxyribonuclease RusA
LAWY01000036.1||full_1__00037	510.8	S	Virus	6.20E-153	4QB9Y	"hydrolase activity, acting on acid anhydrides"
LAWY01000036.1||full_1__00038	347.1	KL	Eukarya	1.90E-103	2QT4U	DEAD DEAH box helicase
LAWY01000036.1||full_1__00039	222.3	S	Virus	4.10E-66	4QDCH	
LAWY01000036.1||full_1__00040	490.1	S	Virus	3.30E-147	4QH4V	AAA domain
LAWY01000036.1||full_1__00041	559.2	S	Virus	6.50E-168	4QEW8	
LAWY01000036.1||full_1__00042	317	S	Bacteria	6.40E-95	2ZCCB	unknown
LAWY01000036.1||full_1__00043	140.4	S	Bacteria	3.90E-41	331KR	unknown
